89.32.00;["Manometria gastrointestinale, NAS"]
89.32.10;["Manometria esofagea"]
89.32.20;["Manometria gastrica"]
89.32.30;["Manometria dell'intestino crasso"]
89.32.40;["Manometria anorettale"]
89.32.99;["Manometria gastrointestinale, altro"]
89.33;["Esplorazione digitale di stoma di enterostomia"];Esplorazione digitale di stoma di colostomia
89.34;["Esplorazione rettale digitale"];Toucher rettale *
89.35;["Diafanoscopia [o transilluminazione] dei seni paranasali"]
89.36;["Palpazione del seno"]
89.37;["Determinazione della capacità vitale"]
89.38;["Altre misure ed esami respiratori non operatori"]
89.38.0;["Dettaglio della sottocategoria 89.38"]
89.38.00;["Altre misure respiratorie non operatorie, NAS"]
89.38.11;["Pletismografia per misurazione della funzione respiratoria"]
89.38.12;["Pletismografia toracica ad impedenza"]
89.38.13;["Capnografia"]
89.38.14;["Pulsossimetria notturna"]
89.38.15;["Ossi-cardio-respirogramma per sorveglianza ospedaliera"]
89.38.21;["Misurazione della concentrazione di CO (monossido di carbonio) nell'aria espirata"]
89.38.22;["Ergospirometria completa"]
89.38.23;["Misurazione della forza meccanica respiratoria, semplice"];Sniff test
89.38.24;["Misurazione della forza meccanica respiratoria, completa"];P0.1, PImax e PEmax,
89.38.25;["Single breath test"]
89.38.26;["Misurazione del monossido d'azoto espirato (eNO)"]
89.38.27;["Provocazione dell'espettorato mediante inalazione con nebulizzatore ad aria compressa/compressore"]
89.38.3;["Titolazione dell'ossigeno"]
89.38.30;["Titolazione dell'ossigeno, NAS"]
89.38.31;["Titolazione dell'ossigeno a riposo"]
89.38.32;["Titolazione dell'ossigeno sotto stress"]
89.38.39;["Titolazione dell'ossigeno, altro"]
89.38.4;["Test di provocazione respiratoria specifico"]
89.38.40;["Test di provocazione respiratoria specifico, NAS"]
89.38.41;["Test di provocazione con acido acetilsalicilico (ASS) inalatorio"]
89.38.42;["Test di provocazione con ASS per os"]
89.38.49;["Test di provocazione respiratoria specifico, altro"]
89.38.5;["Test di provocazione respiratoria aspecifico"]
89.38.50;["Test di provocazione respiratoria aspecifico, NAS"]
89.38.51;["Test di provocazione bronchiale con mannitolo"]
89.38.52;["Metacolina per test di provocazione bronchiale"]
89.38.59;["Test di provocazione respiratoria aspecifico, altro"]
89.39;["Altre misure ed esami non invasivi"]
89.39.0;["Dettaglio della sottocategoria 89.39"]
89.39.00;["Altre misure ed esami non invasivi, NAS"]
89.39.09;["Altre misure ed esami non invasivi, altro"]
89.39.10;["Test del respiro con C13 con vari substrati (es.: lattosio, fruttosio)"]
89.39.11;["Test del respiro con urea-C14"]
89.39.2;["Calorimetria"]
89.39.20;["Calorimetria, NAS"]
89.39.21;["Calorimetria diretta con carico di glucosio, lattosio o lipidi"]
89.39.22;["Calorimetria indiretta"]
89.39.29;["Calorimetria, altro"]
89.39.30;["Metabolismo basale, NAS"]
89.39.40;["Analisi gastrica (sonda)"]
89.39.49;["Funzione gastrica, altra NAC"]
89.39.5;["Esame metabolico funzionale"]
89.39.50;["Esame metabolico funzionale, NAS"]
89.39.59;["Esame metabolico funzionale, altro"]
89.4;["Test cardiaco da sforzo e contollo dello stimolatore e del defibrillatore"]
89.42;["Test da sforzo dei due gradini di Master"]
89.5;["Altri test funzionali cardiologici e vascolari"]
89.53;["Vettocardiografia (con ECG)"]
89.55;["Fonocardiogramma con elettrodo ECG"]
89.57;["Apicocardiogramma (con elettrodo ECG)"]
89.59;["Altre misure cardiovascolari non operative"]
89.59.0;["Dettaglio della sottocategoria 89.59"]
89.6;["Monitoraggio circolatorio"]
89.61;["Monitoraggio della pressione arteriosa sistemica"]
89.61.0;["Dettaglio della sottocategoria 89.61"]
89.61.00;["Sorveglianza della pressione arteriosa sistemica, NAS"]
89.61.10;["Sorveglianza della pressione arteriosa sistemica, mediante monitoraggio"]
89.62;["Monitoraggio della pressione venosa centrale"]
89.65;["Emogasanalisi arteriosa sistemica"]
89.66;["Emogasanalisi di sangue misto venoso"]
89.7;["Visita generale"]
89.8;["Patologia"]
89.81;["Autopsia"]
89.82;["Esame istopatologico"]
89.83;["Esame citopatologico"]
89.9;["Altra anamnesi, valutazione, consulto e visita"]
89.91;["Visita allergologica e immunologica"]
89.91.13;["Consulto per malattia allergica-immunologica, durata più di 2 ore"]
89.93;["Colloquio interdisciplinare per casi oncologici (tumor board)"]
92;["Medicina nucleare"]
92.0;["Scansione radioisotopica e studio di funzione"]
92.02;["Scintigrafia epatica e studio funzionale radioisotopico"]
92.05.0;["Dettaglio della sottocategoria 92.05"]
92.05.1;["Scintigrafia miocardica perfusionale"]
92.05.10;["Scintigrafia miocardica perfusionale, NAS"]
92.09.0;["Dettaglio della sottocategoria 92.09"]
92.09.00;["Altro studio funzionale radioisotopico, NAS"]
92.09.99;["Altro studio funzionale radioisotopico, altro"]
92.1;["Altre scintigrafie"]
92.11;["Scintigrafia cerebrale"];Ipofisaria
92.11.08;["Altre scintigrafie cerebrale"]
92.12;["Scintigrafia di altre sedi della testa"]
92.13;["Scintigrafia della paratiroide"]
92.14;["Scintigrafia ossea"]
92.15;["Scintigrafia polmonare"]
92.16;["Scintigrafia del sistema linfatico"]
92.18;["Scintigrafia total body"]
92.18.00;["Scintigrafia total body, NAS"]
92.19;["Scintigrafia di altre sedi"]
92.19.00;["Tomografia a emissione di positroni del cuore"]
92.19.01;["Tomografia a emissione di positroni del corpo intero"]
92.19.02;["Altra tomografia a emissione di positroni"]
92.19.04;["Diagnostica dell'ipossia cellulare con 18-F-misonidazolo"]
92.19.08;["Altra scintigrafia di altre sedi"]
92.2;["Radiologia terapeutica e medicina nucleare"]
92.21;["Radiazione superficiale"];Radiazione per contatto [fino a 150 KVP]
92.21.0;["Roentgenterapia (radioterapia superficiale) "]
92.21.00;["Radioterapia superficiale: NAS "]
92.21.01;["Radioterapia superficiale: fino a 2 campi di irradiazione "]
92.22;["Radiazione con ortovoltaggio"];Radiazione profonda [200-300 KVP]
92.22.0;["Radioterapia con ortovoltaggio "]
92.22.1;["Roentgenterapia intraoperatoria "]
92.22.11;["Roentgenterapia intraoperatoria, fino a 300 kV "]
92.22.12;["Roentgenterapia intraoperatoria, 300 kV - < 1 MV "]
92.24.0;["Teleradioterapia mediante fotoni, acceleratore lineare "]
92.24.00;["Teleradioterapia mediante fotoni, acceleratore lineare, NAS "]
92.24.3;["Teleradioterapia mediante fotoni: radioterapia estremamente complessa"]
92.25;["Teleradioterapia con elettroni"];Particelle Beta
92.25.0;["Teleradioterapia con elettroni, acceleratore lineare "]
92.25.00;["Teleradioterapia con elettroni, acceleratore lineare, NAS "]
92.26.0;["Dettaglio della sottocategoria 92.26"]
92.27.7;["Moulage radioattivi "]
92.27.70;["Moulage radioattivi, NAS "]
92.27.79;["Moulage radioattivi, altro"]
92.28.33;["Brachiterapia endovascolare con renio-188"]
92.29;["Altre procedure radioterapeutiche"]
92.29.0;["Brachiterapia con radionuclidi chiusi "]
92.29.00;["Brachiterapia con radionuclidi chiusi, NAS "]
92.29.3;["Brachiterapia interstiziale con impianto di emettitori permanenti  "]
92.29.33;["Brachiterapia interstiziale con impianto di emettitori permanenti, da 16 a 20 sorgenti"]
92.29.34;["Brachiterapia interstiziale con impianto di emettitori permanenti, da 21 a 25 sorgenti"]
92.29.4;["Brachiterapia con applicatori superficiali "]
92.29.7;["Simulazione di irradiazione per radioterapia esterna e brachiterapia "]
92.30.0;["Radioterapia stereotassica, in seduta unica "]
92.30.00;["Radioterapia stereotassica, in seduta unica, NAS"]
92.30.01;["Radioterapia stereotassica, in seduta unica: Cerebrale, NAS"]
92.30.02;["Radioterapia stereotassica, in seduta unica: Extracerebrale, NAS"]
92.30.99;["Radioterapia stereotassica, in seduta unica, altro"]
92.31.00;["Radiochirurgia con fotoni NAS, cerebrale "]
92.31.10;["Radiochirurgia con fotoni NAS, extracerebrale "]
92.32.00;["Radiochirurgia con fotoni a sorgente multiple, NAS"]
92.33.00;["Radiochirurgia con particelle, NAS"]
92.39;["Radiochirurgia stereotassica, NAC"]
92.39.00;["Altra radiochirurgia stereotassica, NAS"]
92.4;["Procedure di irradiazione intraoperatorie"]
93;["Terapia fisica, terapia respiratoria, riabilitazione e procedure correlate"]
93.0;["Fisioterapia diagnostica"]
93.01;["Valutazione funzionale"]
93.02;["Valutazione ortottica"]
93.03;["Valutazione protesica"]
93.04;["Valutazione manuale di funzione muscolare"]
93.05;["Valutazione di ampiezza del movimento"]
93.06;["Misura di lunghezza degli arti"]
93.08;["Elettromiografia"]
93.09;["Altre procedure di fisioterapia diagnostica"]
93.1;["Esercizi di fisioterapia"];Esercizi di mobilizzazione *;Kinesiterapia *
93.11;["Esercizi assistiti"]
93.12;["Altri esercizi muscoloscheletrici attivi"]
93.13;["Esercizi contro resistenza"];Mobilizzazione contro resistenza *
93.14;["Allenamento nei movimenti articolari (training)"]
93.15;["Mobilizzazione della colonna vertebrale"]
93.16;["Mobilizzazione di altre articolazioni"]
93.17;["Altri esercizi muscoloscheletrici passivi"]
93.18;["Esercizi respiratori"]
93.18.0;["Dettaglio della sottocategoria 93.18"]
93.18.00;["Esercizi respiratori, NAS"]
93.18.10;["Esercizi respiratori con consegna di ausili"]
93.18.99;["Esercizi respiratori, altro"]
93.19;["Esercizi, NAC"]
93.2;["Altra fisioterapia con manipolazioni muscoloscheletriche"]
93.21;["Trazioni manuali e meccaniche"]
93.22;["Training deambulatori e del passo"]
93.22.0;["Dettaglio della sottocategoria 93.22"]
93.22.00;["Training deambulatori e del passo, NAS"]
93.22.99;["Training deambulatori e del passo, altro"]
93.25;["Estensione forzata degli arti"]
93.26;["Rottura manuale di aderenze articolari"];Artrolisi manuale *
93.27;["Stretching di muscoli o tendini"]
93.28;["Stretching di fascia"]
93.29;["Altre correzioni forzate di deformità"]
93.3;["Altre procedure di fisioterapia terapeutica"]
93.31;["Esercizi assistiti in piscina"]
93.32;["Trattamento a vortice"];Whirlpool-treatment *
93.33;["Altra idroterapia"]
93.34;["Diatermia"]
93.36;["Riabilitazione cardiologica"]
93.36.0;["Dettaglio della sottocategoria 93.36"]
93.36.00;["Riabilitazione cardiologica, NAS"]
93.36.10;["Assistenza postoperatoria di pazienti dopo intervento al cuore in ospedale esterno"]
93.36.99;["Riabilitazione cardiologica, altro"]
93.37;["Training prenatale"];Ginnastica pre-parto *;Training per il parto naturale
93.38;["Fisioterapia combinata senza menzione dei componenti"]
93.38.00;["Trattamento reumatologico complesso multimodale, NAS"]
93.38.03;["Trattamento reumatologico complesso multimodale, almeno 21 giorni di trattamento"]
93.38.13;["Trattamento reumatologico complesso multimodale nel bambino e nell'adolescente, almeno 21 giorni di trattamento "]
93.38.41;["Trattamento complesso multimodale non chirurgico dell'apparato locomotore"]
93.38.50;["Trattamento conservativo della sindrome radicolare, NAS"]
93.38.59;["Trattamento conservativo della sindrome radicolare, altro"]
93.38.60;["Trattamento conservativo complesso per osteoporosi/frattura dello scheletro assiale, NAS"]
93.38.64;["Trattamento conservativo complesso per osteoporosi/frattura dello scheletro assiale, almeno 21 giorni di trattamento"]
93.38.9;["Fisioterapia combinata, NAS"]
93.38.90;["Fisioterapia combinata senza menzione die componenti, NAS"]
93.39;["Altra fisioterapia"]
93.39.0;["Dettaglio della sottocategoria 93.39"]
93.39.00;["Altra fisioterapia, NAS"]
93.39.10;["Terapia posizionale, NAS"]
93.39.11;["Terapia posizionale, Materasso a pressione alternata"]
93.39.12;["Terapia posizionale, letto elettrico programmabile per pazienti molto pesanti"]
93.39.13;["Terapia posizionale, letto a rotazione"]
93.39.20;["Posizionamento terapeutico-funzionale su base neurofisiologica"]
93.39.99;["Altra fisioterapia, altro"]
93.4;["Trazione scheletrica e altre trazioni"]
93.42;["Altre trazioni spinali"];Trazione di Cotrel
93.43;["Trazione scheletrica intermittente"]
93.45;["Trazione con apparecchio di Thomas"];Trazione con Thomasschiene *
93.5;["Altre immobilizzazioni, pressioni e cure a ferite"]
93.51;["Applicazione di corsetto gessato"]
93.53;["Applicazione di altro gesso"]
93.55;["Cerchiaggio dentale"]
93.57.0;["Dettaglio della sottocategoria 93.57"]
93.57.00;["Applicazione di altra medicazione su ferita,  NAS"]
93.57.10;["Terapia a pressione negativa continua, NAS"]
93.57.11;["Terapia a pressione negativa continua, fino a 7 giorni"]
93.57.12;["Terapia a pressione negativa continua, 8 giorni e più"]
93.57.99;["Applicazione di altra medicazione su ferita, altro"]
93.59.0;["Dettaglio della sottocategoria 93.59"]
93.59.00;["Altra immobilizzazione, pressione e cura di ferita, NAS"]
93.59.09;["Altra immobilizzazione, pressione e cura di ferita, altro"]
93.59.5;["Trattamento complesso per colonizzazione o infezione da agenti multiresistenti"]
93.59.6;["Trattamento complesso speciale della mano"]
93.59.60;["Trattamento complesso speciale della mano, fino a 6 giorni di trattamento"]
93.59.61;["Trattamento complesso speciale della mano, da 7 a 13 giorni di trattamento"]
93.59.62;["Trattamento complesso speciale della mano, da 14 a 20 giorni di trattamento"]
93.59.63;["Trattamento complesso speciale della mano, 21 o più giorni di trattamento"]
93.59.7;["Trattamento dermatologico complesso multimodale"]
93.6;["Trattamento manipolativo di osteopatia"];Medicina manuale
93.64;["Trattamento manipolativo di osteopatia usando forze isotoniche o isometriche"]
93.65;["Trattamento manipolativo osteopatico con uso di forze indirette"]
93.67;["Altri trattamenti specifici manipolativi per osteopatia"]
93.7;["Riabilitazione del linguaggio e della lettura e riabilitazione del cieco"];Logopedia *;Ortofonia *
93.70;["Logopedia"]
93.70.0;["Diagnostica logopedica"]
93.70.00;["Diagnostica logopedica, NAS"]
93.70.01;["Diagnostica non strumentale di funzioni facio-orali, articolatorie e vocali"]
93.70.02;["Diagnosi strumentale di funzioni facio-orali o vocali"]
93.70.03;["Diagnostica deglutitoria clinica"]
93.70.04;["Diagnostica deglutitoria strumentale interdisciplinare"]
93.70.05;["Diagnostica logopedica con cannule tracheali"]
93.70.08;["Valutazione adattativa"]
93.70.09;["Diagnostica logopedica, altro"]
93.70.0A;["Diagnostica logopedica, valutazione protesica"]
93.70.1;["Terapia logopedica"]
93.70.10;["Terapia logopedica, NAS"]
93.70.11;["Ripristino delle funzioni di linguaggio, eloquio, deglutizione o vocali"]
93.70.14;["Terapia logopedica con impiego di ausilii strumentali specifici"]
93.70.19;["Terapia logopedica, altro"]
93.70.2;["Consulenza logopedica"]
93.70.20;["Istruzione e consulenza a familiari e ambiente sociale"]
93.75;["Altro training del linguaggio e terapia"];Logopedia *
93.76;["Training all'uso di cani guida per ciechi"]
93.77;["Training all'uso del Braille o Moon"]
93.78;["Altra riabilitazione del cieco"]
93.8;["Altra terapia riabilitativa"]
93.81;["Terapia ricreazionale"];Terapia del gioco;Terapia diversiva
93.84;["Terapia musicale"]
93.89;["Riabilitazione, NAC"]
93.89.09;["Riabilitazione, NAC"]
93.89.2;["Riabilitazione precoce fisica medica"]
93.89.20;["Riabilitazione precoce fisica medica, fino a 7 giorni di trattamento"]
93.89.21;["Riabilitazione precoce fisica medica, da almeno 7 a massimo 13 giorni di trattamento"]
93.89.23;["Riabilitazione precoce fisica medica, almeno 21 giorni di trattamento"]
93.89.52;["Impiego medio di 30 unità terapeutiche (di almeno 30 minuti l'una) settimanali"]
93.89.53;["Impiego medio di 40 unità terapeutiche (di almeno 30 minuti l'una) settimanali"]
93.89.70;["Impiego medio di 15 unità terapeutiche (di almeno 30 minuti l'una) settimanali"]
93.89.A;["Valutazione geriatrica standardizzata"]
93.89.A0;["Valutazione geriatrica standardizzata, NAS"]
93.89.B0;["Visita diagnostica a domicilio, NAS"]
93.89.C;["Consulto per la pianificazione della riabilitazione"]
93.89.C0;["Consulto per la pianificazione della riabilitazione, NAS"]
93.89.C1;["Consulto per la pianificazione della riabilitazione, durata fino a 2 ore"]
93.89.C3;["Consulto per la pianificazione della riabilitazione, durata più di 3 ore"]
93.89.C9;["Consulto per la pianificazione della riabilitazione, altro"]
93.8A;["Medicina palliativa"]
93.8A.1;["Valutazione medico palliativa"]
93.8A.10;["Valutazione medico palliativa, NAS"]
93.9;["Respirazione assistita e anestesia"]
93.90.0;["Dettaglio della sottocategoria 93.90"]
93.90.1;["Continuous Positive Airway Pressure CPAP"]
93.90.10;["CPAP, NAS"]
93.90.11;["Impostazione iniziale della CPAP"]
93.90.19;["CPAP, altro"]
93.90.2;["Bi-level Positive Airway Pressure BiPAP"]
93.90.20;["BiPAP, NAS"]
93.90.21;["Impostazione iniziale della BiPAP"]
93.90.29;["BiPAP, altro"]
93.92.0;["Dettaglio della sottocategoria 93.92"]
93.92.00;["Anestesia, NAS"]
93.92.10;["Anestesia per via endovenosa"]
93.92.11;["Anestesia inalatoria"]
93.92.12;["Anestesia bilanciata"]
93.92.99;["Anestesia, altro"]
93.95;["Ossigenazione iperbarica"]
93.95.0;["Dettaglio della sottocategoria 93.95"]
93.95.00;["Ossigenazione iperbarica, NAS"]
93.95.99;["Ossigenazione iperbarica, altro"]
93.96.0;["Dettaglio della sottocategoria 93.96"]
93.97;["Camera di decompressione"]
93.99;["Altre procedure respiratorie"]
